customer_id,concept_id,customer_comments,pain_point_statements,objection_themes,requested_capabilities
CUST-0029,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,,data export to Excel/CSV
CUST-0042,CONCEPT-001,East organization people information on mission various daughter respond draw how public feel first sell.,,data privacy and residency concerns; change management burden; vendor lock-in risk,role-based access control with SSO
CUST-0008,CONCEPT-001,The value proposition was unclear for our specific segment.,Patient intake forms are inconsistent across facilities.,change management burden,data export to Excel/CSV; simplified admin console
CUST-0005,CONCEPT-001,The value proposition was unclear for our specific segment.,Compliance audits require manual evidence gathering.,lack of internal ML expertise; vendor lock-in risk; unclear ROI timeline,on-premise deployment option; email-only notification mode; simplified admin console
CUST-0048,CONCEPT-001,Act perform none beyond Mrs media car give.,Patient intake forms are inconsistent across facilities.,budget already allocated elsewhere; change management burden; unclear ROI timeline,
CUST-0013,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,change management burden; data privacy and residency concerns; lack of internal ML expertise,email-only notification mode; simplified admin console; data export to Excel/CSV
CUST-0058,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,change management burden; vendor lock-in risk; integration complexity with existing ERP,data export to Excel/CSV; email-only notification mode
CUST-0069,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Compliance audits require manual evidence gathering.,integration complexity with existing ERP; budget already allocated elsewhere,multi-language document support; role-based access control with SSO
CUST-0023,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Patient intake forms are inconsistent across facilities.,unclear ROI timeline,email-only notification mode; data export to Excel/CSV; on-premise deployment option
CUST-0027,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Compliance audits require manual evidence gathering.,data privacy and residency concerns; budget already allocated elsewhere; lack of internal ML expertise,email-only notification mode; data export to Excel/CSV
CUST-0035,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Compliance audits require manual evidence gathering.,change management burden,email-only notification mode; on-premise deployment option; simplified admin console
CUST-0060,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Clinician documentation consumes 2 hours per patient.,,on-premise deployment option; email-only notification mode
CUST-0062,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Compliance audits require manual evidence gathering.,change management burden; budget already allocated elsewhere; lack of internal ML expertise,data export to Excel/CSV; email-only notification mode
CUST-0014,CONCEPT-001,Implementation timeline seems unrealistic for our infrastructure.,Clinician documentation consumes 2 hours per patient.,accuracy not proven on our data; budget already allocated elsewhere; change management burden,simplified admin console
CUST-0026,CONCEPT-001,Competing internal project may cover similar ground.,Compliance audits require manual evidence gathering.,unclear ROI timeline; accuracy not proven on our data; data privacy and residency concerns,on-premise deployment option
CUST-0039,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,,email-only notification mode; data export to Excel/CSV; simplified admin console
CUST-0044,CONCEPT-001,We do not have budget for new AI initiatives this fiscal year.,Compliance audits require manual evidence gathering.,integration complexity with existing ERP; unclear ROI timeline,data export to Excel/CSV
CUST-0078,CONCEPT-001,Accuracy on edge cases was disappointing during the live demo.,Patient intake forms are inconsistent across facilities.,lack of internal ML expertise; budget already allocated elsewhere; accuracy not proven on our data,on-premise deployment option; simplified admin console
CUST-0017,CONCEPT-002,The value proposition was unclear for our specific segment.,Quality inspection is 100% manual and error-prone.,change management burden; data privacy and residency concerns; vendor lock-in risk,on-premise deployment option; simplified admin console
CUST-0079,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,integration complexity with existing ERP; data privacy and residency concerns; unclear ROI timeline,simplified admin console
CUST-0038,CONCEPT-002,The value proposition was unclear for our specific segment.,Unplanned downtime costs $50K per incident.,lack of internal ML expertise; budget already allocated elsewhere; data privacy and residency concerns,data export to Excel/CSV; on-premise deployment option
CUST-0023,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,budget already allocated elsewhere; change management burden; unclear ROI timeline,email-only notification mode
CUST-0012,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,vendor lock-in risk; accuracy not proven on our data; change management burden,simplified admin console; email-only notification mode
CUST-0025,CONCEPT-002,Accuracy on edge cases was disappointing during the live demo.,Unplanned downtime costs $50K per incident.,change management burden; accuracy not proven on our data; budget already allocated elsewhere,on-premise deployment option; email-only notification mode; simplified admin console
CUST-0051,CONCEPT-002,Competing internal project may cover similar ground.,Quality inspection is 100% manual and error-prone.,accuracy not proven on our data; integration complexity with existing ERP,data export to Excel/CSV; on-premise deployment option; simplified admin console
CUST-0069,CONCEPT-002,Competing internal project may cover similar ground.,Unplanned downtime costs $50K per incident.,change management burden; data privacy and residency concerns,on-premise deployment option; simplified admin console
CUST-0030,CONCEPT-002,These hard citizen street region particularly would pressure.,,integration complexity with existing ERP; data privacy and residency concerns,simplified admin console
CUST-0063,CONCEPT-002,The value proposition was unclear for our specific segment.,Spare parts inventory is overstocked by 40%.,vendor lock-in risk; data privacy and residency concerns,data export to Excel/CSV; simplified admin console
CUST-0014,CONCEPT-002,Property never use billion there enough threat.,Unplanned downtime costs $50K per incident.,integration complexity with existing ERP; change management burden,role-based access control with SSO; multi-language document support
CUST-0028,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,vendor lock-in risk; change management burden,
CUST-0007,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,lack of internal ML expertise,data export to Excel/CSV; email-only notification mode
CUST-0075,CONCEPT-002,Accuracy on edge cases was disappointing during the live demo.,Quality inspection is 100% manual and error-prone.,vendor lock-in risk; integration complexity with existing ERP; unclear ROI timeline,simplified admin console; data export to Excel/CSV; email-only notification mode
CUST-0048,CONCEPT-002,Choice example decision garden reach table measure economy traditional anything plant stop analysis four capital.,Spare parts inventory is overstocked by 40%.,change management burden; unclear ROI timeline; budget already allocated elsewhere,email-only notification mode; simplified admin console
CUST-0052,CONCEPT-002,The value proposition was unclear for our specific segment.,,budget already allocated elsewhere,on-premise deployment option; data export to Excel/CSV; simplified admin console
CUST-0034,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Quality inspection is 100% manual and error-prone.,data privacy and residency concerns; integration complexity with existing ERP; vendor lock-in risk,simplified admin console
CUST-0002,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,unclear ROI timeline; data privacy and residency concerns; budget already allocated elsewhere,email-only notification mode; on-premise deployment option
CUST-0060,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Spare parts inventory is overstocked by 40%.,,simplified admin console
CUST-0043,CONCEPT-002,The value proposition was unclear for our specific segment.,Unplanned downtime costs $50K per incident.,,on-premise deployment option; simplified admin console
CUST-0005,CONCEPT-002,Claim kind relationship night born war real chance along hard need.,Quality inspection is 100% manual and error-prone.,lack of internal ML expertise; vendor lock-in risk; budget already allocated elsewhere,
CUST-0047,CONCEPT-002,Competing internal project may cover similar ground.,Spare parts inventory is overstocked by 40%.,lack of internal ML expertise; unclear ROI timeline; integration complexity with existing ERP,data export to Excel/CSV; on-premise deployment option
CUST-0077,CONCEPT-002,The value proposition was unclear for our specific segment.,Unplanned downtime costs $50K per incident.,unclear ROI timeline; integration complexity with existing ERP; change management burden,simplified admin console; data export to Excel/CSV; on-premise deployment option
CUST-0058,CONCEPT-002,Accuracy on edge cases was disappointing during the live demo.,Unplanned downtime costs $50K per incident.,,simplified admin console
CUST-0050,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,change management burden; data privacy and residency concerns; budget already allocated elsewhere,email-only notification mode; on-premise deployment option
CUST-0020,CONCEPT-002,We do not have budget for new AI initiatives this fiscal year.,Quality inspection is 100% manual and error-prone.,,simplified admin console; data export to Excel/CSV; on-premise deployment option
CUST-0018,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,change management burden; vendor lock-in risk,email-only notification mode; simplified admin console
CUST-0015,CONCEPT-002,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,accuracy not proven on our data; data privacy and residency concerns; vendor lock-in risk,data export to Excel/CSV
CUST-0007,CONCEPT-003,Competing internal project may cover similar ground.,False positives in fraud detection overwhelm the team.,,email-only notification mode; data export to Excel/CSV
CUST-0012,CONCEPT-003,Some features overlap with tools we already own.,Customer onboarding requires manual document review.,change management burden; lack of internal ML expertise; vendor lock-in risk,role-based access control with SSO
CUST-0040,CONCEPT-003,"Good demo, but our procurement cycle is 6+ months.",Customer onboarding requires manual document review.,,simplified admin console; email-only notification mode
CUST-0051,CONCEPT-003,Interesting concept but we need to see it on our own data first.,Regulatory reporting takes 3 weeks each cycle.,accuracy not proven on our data; change management burden,simplified admin console
CUST-0033,CONCEPT-003,Would need executive sponsorship before moving forward.,Regulatory reporting takes 3 weeks each cycle.,change management burden; data privacy and residency concerns,on-premise deployment option
CUST-0075,CONCEPT-003,Camera final together someone team together decide economic bill sister this image per.,Customer onboarding requires manual document review.,,audit trail and explainability dashboard; API integration with Salesforce; role-based access control with SSO
CUST-0013,CONCEPT-003,Would need executive sponsorship before moving forward.,Customer onboarding requires manual document review.,,on-premise deployment option
CUST-0031,CONCEPT-003,Promising direction — scheduling a follow-up with the architecture team.,Regulatory reporting takes 3 weeks each cycle.,vendor lock-in risk,multi-language document support; API integration with Salesforce; role-based access control with SSO
CUST-0074,CONCEPT-003,We do not have budget for new AI initiatives this fiscal year.,False positives in fraud detection overwhelm the team.,data privacy and residency concerns; vendor lock-in risk; accuracy not proven on our data,on-premise deployment option
CUST-0018,CONCEPT-003,We do not have budget for new AI initiatives this fiscal year.,False positives in fraud detection overwhelm the team.,lack of internal ML expertise; data privacy and residency concerns; integration complexity with existing ERP,
CUST-0045,CONCEPT-003,Promising direction — scheduling a follow-up with the architecture team.,Regulatory reporting takes 3 weeks each cycle.,,on-premise deployment option; data export to Excel/CSV
CUST-0047,CONCEPT-003,Some features overlap with tools we already own.,Regulatory reporting takes 3 weeks each cycle.,budget already allocated elsewhere; vendor lock-in risk; change management burden,role-based access control with SSO
CUST-0058,CONCEPT-003,Understand door class son computer include conference under site.,Regulatory reporting takes 3 weeks each cycle.,unclear ROI timeline; lack of internal ML expertise; accuracy not proven on our data,role-based access control with SSO; API integration with Salesforce
CUST-0072,CONCEPT-003,Soon ten specific environment skin blue the teach develop staff least figure somebody.,False positives in fraud detection overwhelm the team.,,on-premise deployment option; simplified admin console; data export to Excel/CSV
CUST-0054,CONCEPT-003,The value proposition was unclear for our specific segment.,False positives in fraud detection overwhelm the team.,budget already allocated elsewhere,API integration with Salesforce; role-based access control with SSO; multi-language document support
CUST-0024,CONCEPT-003,Promising direction — scheduling a follow-up with the architecture team.,Customer onboarding requires manual document review.,,on-premise deployment option
CUST-0046,CONCEPT-004,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,lack of internal ML expertise; budget already allocated elsewhere; change management burden,on-premise deployment option
CUST-0020,CONCEPT-004,Competing internal project may cover similar ground.,Unplanned downtime costs $50K per incident.,unclear ROI timeline; accuracy not proven on our data,data export to Excel/CSV
CUST-0012,CONCEPT-004,Interesting concept but we need to see it on our own data first.,Unplanned downtime costs $50K per incident.,unclear ROI timeline,email-only notification mode; on-premise deployment option
CUST-0056,CONCEPT-004,Promising direction — scheduling a follow-up with the architecture team.,Spare parts inventory is overstocked by 40%.,unclear ROI timeline,email-only notification mode; on-premise deployment option; data export to Excel/CSV
CUST-0015,CONCEPT-004,Some features overlap with tools we already own.,Spare parts inventory is overstocked by 40%.,vendor lock-in risk; accuracy not proven on our data,simplified admin console; email-only notification mode; on-premise deployment option
CUST-0050,CONCEPT-004,Competing internal project may cover similar ground.,Unplanned downtime costs $50K per incident.,unclear ROI timeline; vendor lock-in risk; change management burden,simplified admin console
CUST-0042,CONCEPT-004,Competing internal project may cover similar ground.,,,email-only notification mode
CUST-0009,CONCEPT-004,Development process huge everything attorney significant go meeting quickly such.,Unplanned downtime costs $50K per incident.,budget already allocated elsewhere; change management burden; data privacy and residency concerns,data export to Excel/CSV; email-only notification mode
CUST-0034,CONCEPT-004,Voice boy wife condition while enter board its rock finish paper memory.,Quality inspection is 100% manual and error-prone.,change management burden; integration complexity with existing ERP,
CUST-0018,CONCEPT-004,We do not have budget for new AI initiatives this fiscal year.,Spare parts inventory is overstocked by 40%.,lack of internal ML expertise; accuracy not proven on our data; budget already allocated elsewhere,multi-language document support; API integration with Salesforce
CUST-0024,CONCEPT-004,Tonight couple and job mind southern rather vote say culture issue we TV.,Quality inspection is 100% manual and error-prone.,accuracy not proven on our data; data privacy and residency concerns,simplified admin console
CUST-0060,CONCEPT-004,The value proposition was unclear for our specific segment.,Quality inspection is 100% manual and error-prone.,integration complexity with existing ERP; budget already allocated elsewhere; vendor lock-in risk,on-premise deployment option; simplified admin console; data export to Excel/CSV
CUST-0008,CONCEPT-004,Would need executive sponsorship before moving forward.,Unplanned downtime costs $50K per incident.,budget already allocated elsewhere; lack of internal ML expertise; integration complexity with existing ERP,on-premise deployment option; email-only notification mode
CUST-0078,CONCEPT-004,The value proposition was unclear for our specific segment.,Quality inspection is 100% manual and error-prone.,,on-premise deployment option; email-only notification mode
CUST-0080,CONCEPT-004,We do not have budget for new AI initiatives this fiscal year.,,accuracy not proven on our data; change management burden; integration complexity with existing ERP,data export to Excel/CSV
CUST-0040,CONCEPT-004,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,,email-only notification mode
CUST-0067,CONCEPT-004,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,accuracy not proven on our data; budget already allocated elsewhere; vendor lock-in risk,on-premise deployment option
CUST-0029,CONCEPT-004,We do not have budget for new AI initiatives this fiscal year.,Unplanned downtime costs $50K per incident.,,on-premise deployment option
CUST-0030,CONCEPT-004,Competing internal project may cover similar ground.,Unplanned downtime costs $50K per incident.,lack of internal ML expertise; unclear ROI timeline; change management burden,data export to Excel/CSV
CUST-0014,CONCEPT-004,We do not have budget for new AI initiatives this fiscal year.,,integration complexity with existing ERP; budget already allocated elsewhere; unclear ROI timeline,on-premise deployment option
CUST-0027,CONCEPT-004,Implementation timeline seems unrealistic for our infrastructure.,Spare parts inventory is overstocked by 40%.,vendor lock-in risk; change management burden; lack of internal ML expertise,role-based access control with SSO; API integration with Salesforce
CUST-0019,CONCEPT-004,Implementation timeline seems unrealistic for our infrastructure.,Quality inspection is 100% manual and error-prone.,vendor lock-in risk; lack of internal ML expertise; integration complexity with existing ERP,email-only notification mode
CUST-0057,CONCEPT-004,The value proposition was unclear for our specific segment.,Spare parts inventory is overstocked by 40%.,lack of internal ML expertise; vendor lock-in risk; data privacy and residency concerns,simplified admin console; on-premise deployment option
CUST-0022,CONCEPT-004,Accuracy on edge cases was disappointing during the live demo.,Unplanned downtime costs $50K per incident.,budget already allocated elsewhere; data privacy and residency concerns,email-only notification mode
CUST-0028,CONCEPT-004,Finish summer rest feel finally impact I fast camera inside wait quality total past feeling nature.,Spare parts inventory is overstocked by 40%.,,data export to Excel/CSV; email-only notification mode
CUST-0020,CONCEPT-005,Fight decision size parent focus kid put.,Citizen request processing takes 14 days average.,data privacy and residency concerns; vendor lock-in risk; accuracy not proven on our data,multi-language document support; role-based access control with SSO
CUST-0054,CONCEPT-005,List top somebody college be middle plan friend stand seem pull different current agency each.,Cross-agency data sharing is blocked by siloed systems.,accuracy not proven on our data; change management burden; budget already allocated elsewhere,simplified admin console; email-only notification mode; data export to Excel/CSV
CUST-0029,CONCEPT-005,Some features overlap with tools we already own.,Grant application review is entirely manual.,integration complexity with existing ERP; unclear ROI timeline; data privacy and residency concerns,API integration with Salesforce; multi-language document support
CUST-0037,CONCEPT-005,"Good demo, but our procurement cycle is 6+ months.",Cross-agency data sharing is blocked by siloed systems.,integration complexity with existing ERP,role-based access control with SSO; audit trail and explainability dashboard
CUST-0052,CONCEPT-005,Competing internal project may cover similar ground.,Grant application review is entirely manual.,integration complexity with existing ERP,on-premise deployment option; email-only notification mode
CUST-0070,CONCEPT-005,Competing internal project may cover similar ground.,Cross-agency data sharing is blocked by siloed systems.,integration complexity with existing ERP; data privacy and residency concerns,email-only notification mode; data export to Excel/CSV
CUST-0078,CONCEPT-005,"Good demo, but our procurement cycle is 6+ months.",Cross-agency data sharing is blocked by siloed systems.,data privacy and residency concerns; change management burden,role-based access control with SSO; multi-language document support; audit trail and explainability dashboard
CUST-0028,CONCEPT-005,Competing internal project may cover similar ground.,Citizen request processing takes 14 days average.,unclear ROI timeline; change management burden; lack of internal ML expertise,API integration with Salesforce
CUST-0062,CONCEPT-005,We do not have budget for new AI initiatives this fiscal year.,Cross-agency data sharing is blocked by siloed systems.,budget already allocated elsewhere; data privacy and residency concerns,
CUST-0043,CONCEPT-005,We do not have budget for new AI initiatives this fiscal year.,Citizen request processing takes 14 days average.,vendor lock-in risk,audit trail and explainability dashboard
CUST-0033,CONCEPT-005,Would need executive sponsorship before moving forward.,Grant application review is entirely manual.,,multi-language document support; API integration with Salesforce; role-based access control with SSO
CUST-0048,CONCEPT-005,Competing internal project may cover similar ground.,Grant application review is entirely manual.,change management burden,multi-language document support
CUST-0032,CONCEPT-005,Implementation timeline seems unrealistic for our infrastructure.,Citizen request processing takes 14 days average.,unclear ROI timeline; data privacy and residency concerns; accuracy not proven on our data,multi-language document support
CUST-0031,CONCEPT-005,The value proposition was unclear for our specific segment.,Cross-agency data sharing is blocked by siloed systems.,integration complexity with existing ERP; data privacy and residency concerns,data export to Excel/CSV; email-only notification mode
CUST-0017,CONCEPT-005,Some features overlap with tools we already own.,Citizen request processing takes 14 days average.,,audit trail and explainability dashboard; API integration with Salesforce
CUST-0036,CONCEPT-005,We do not have budget for new AI initiatives this fiscal year.,Citizen request processing takes 14 days average.,change management burden; lack of internal ML expertise; integration complexity with existing ERP,
CUST-0002,CONCEPT-005,Interesting concept but we need to see it on our own data first.,Grant application review is entirely manual.,data privacy and residency concerns; budget already allocated elsewhere; unclear ROI timeline,API integration with Salesforce; role-based access control with SSO; audit trail and explainability dashboard
CUST-0011,CONCEPT-005,Competing internal project may cover similar ground.,Grant application review is entirely manual.,data privacy and residency concerns; accuracy not proven on our data,
CUST-0080,CONCEPT-005,Particularly shoulder lay though offer responsibility himself hundred challenge reach throughout team those sing.,Citizen request processing takes 14 days average.,integration complexity with existing ERP; vendor lock-in risk; lack of internal ML expertise,API integration with Salesforce
CUST-0001,CONCEPT-005,Implementation timeline seems unrealistic for our infrastructure.,Cross-agency data sharing is blocked by siloed systems.,accuracy not proven on our data; change management burden,email-only notification mode; on-premise deployment option
CUST-0021,CONCEPT-005,Some features overlap with tools we already own.,Citizen request processing takes 14 days average.,,real-time alerting via Slack/Teams; custom model retraining pipeline
CUST-0034,CONCEPT-005,Interesting concept but we need to see it on our own data first.,Grant application review is entirely manual.,vendor lock-in risk; budget already allocated elsewhere,email-only notification mode; data export to Excel/CSV
CUST-0018,CONCEPT-005,Implementation timeline seems unrealistic for our infrastructure.,Citizen request processing takes 14 days average.,unclear ROI timeline; integration complexity with existing ERP; vendor lock-in risk,API integration with Salesforce; multi-language document support
CUST-0003,CONCEPT-005,Interesting concept but we need to see it on our own data first.,Grant application review is entirely manual.,data privacy and residency concerns,multi-language document support
CUST-0023,CONCEPT-005,Compare when military anyone eat summer lead soon property write.,Cross-agency data sharing is blocked by siloed systems.,change management burden; vendor lock-in risk; integration complexity with existing ERP,audit trail and explainability dashboard
CUST-0071,CONCEPT-005,Accuracy on edge cases was disappointing during the live demo.,Grant application review is entirely manual.,change management burden,API integration with Salesforce
CUST-0039,CONCEPT-005,Fish sense kind spring throughout interview trade knowledge city technology late seem style everyone sing machine.,Grant application review is entirely manual.,change management burden; data privacy and residency concerns; integration complexity with existing ERP,API integration with Salesforce; audit trail and explainability dashboard
CUST-0050,CONCEPT-005,Accuracy on edge cases was disappointing during the live demo.,Cross-agency data sharing is blocked by siloed systems.,lack of internal ML expertise,email-only notification mode
